Date,Open,High,Low,Close,Adj Close,Volume
2019-08-30,158.339996,159.339996,157.009995,157.750000,157.750000,353100
2019-09-03,158.710007,159.289993,157.619995,158.009995,158.009995,397400
2019-09-04,160.500000,161.199997,159.839996,159.990005,159.990005,454000
2019-09-05,163.050003,163.350006,161.479996,161.880005,161.880005,411700
2019-09-06,163.949997,164.380005,162.899994,163.110001,163.110001,279000
2019-09-09,164.479996,164.479996,160.389999,160.740005,160.740005,418800
2019-09-10,154.199997,154.690002,149.630005,151.039993,151.039993,1652300
2019-09-11,152.750000,153.880005,151.050003,151.550003,151.550003,750800
2019-09-12,152.550003,155.389999,152.389999,154.440002,154.440002,569600
2019-09-13,154.029999,154.300003,152.580002,152.600006,152.600006,565600
2019-09-16,151.500000,152.059998,150.699997,150.960007,150.960007,452700
2019-09-17,151.649994,154.130005,151.500000,153.960007,153.960007,447900
2019-09-18,153.850006,154.990005,153.020004,154.779999,154.779999,602700
2019-09-19,154.479996,154.809998,153.619995,153.619995,153.619995,256800
2019-09-20,152.740005,153.029007,151.419998,152.080002,152.080002,690400
2019-09-23,151.050003,153.169998,151.050003,152.770004,152.770004,466800
2019-09-24,151.690002,151.990005,150.259995,150.660004,150.660004,261300
2019-09-25,148.660004,150.580002,147.669998,150.350006,150.350006,744600
2019-09-26,152.000000,152.240005,150.919998,151.479996,151.479996,226500
2019-09-27,153.149994,153.570007,151.080002,152.119995,152.119995,302800
2019-09-30,153.360001,154.669998,153.130005,154.089996,154.089996,617000
2019-10-01,154.070007,154.550003,151.399994,151.960007,151.960007,402600
2019-10-02,148.029999,148.339996,145.929993,146.899994,146.899994,736000
2019-10-03,147.119995,149.440002,145.440002,149.440002,149.440002,405800
2019-10-04,149.850006,150.070007,149.309998,149.559998,149.559998,314700
2019-10-07,148.949997,150.559998,148.899994,149.789993,149.789993,171700
2019-10-08,148.979996,149.199997,147.518997,147.539993,147.539993,210500
2019-10-09,149.110001,149.850006,148.539993,149.300003,149.300003,126900
2019-10-10,148.110001,150.600006,148.000000,150.149994,150.149994,230700
2019-10-11,152.059998,154.619995,151.990005,153.320007,153.320007,410100
2019-10-14,154.309998,155.220001,154.089996,154.770004,154.770004,221900
2019-10-15,155.410004,157.190002,155.369995,156.100006,156.100006,189600
2019-10-16,158.889999,161.184006,158.479996,159.869995,159.869995,401300
2019-10-17,159.699997,160.429993,157.580002,157.610001,157.610001,355400
2019-10-18,157.000000,157.119995,155.063004,155.850006,155.850006,303200
2019-10-21,157.050003,157.125000,155.339996,156.050003,156.050003,250200
2019-10-22,156.979996,157.330002,153.850006,153.899994,153.899994,435900
2019-10-23,153.009995,153.524994,151.600006,151.970001,151.970001,597500
2019-10-24,153.149994,155.649994,153.119995,155.029999,155.029999,411500
2019-10-25,155.000000,156.479996,154.815002,156.089996,156.089996,244900
2019-10-28,157.020004,158.539993,157.020004,157.449997,157.449997,205700
2019-10-29,157.369995,158.240005,156.580002,157.779999,157.779999,275700
2019-10-30,158.570007,158.619995,156.889999,158.139999,158.139999,422600
2019-10-31,159.570007,160.330002,159.160004,160.119995,160.119995,447400
2019-11-01,160.529999,162.070007,160.529999,161.380005,161.380005,397900
2019-11-04,171.899994,172.889999,169.350006,169.990005,169.990005,1417300
2019-11-05,168.399994,168.399994,164.720001,165.600006,165.600006,746700
